"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",112,2,27
"""Adults with Only Other Income""",94,23,15
"""Adults with Both Earned and Other Income""",20,0,3
"""Adults with No Income""",168,10,40
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",7,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,210,0
"""Number of Adult Stayers without Required Annual Assessment""",0,72,0
"""Total Adults""",403,317,86
"""1 or More Source of Income""",242,28,50
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,35,0
