, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",15,9,6,0,0
"""8 to 14 days""",2,2,0,0,0
"""15 to 21 days""",4,2,2,0,0
"""22 to 30 days""",4,2,2,0,0
"""31 to 60 days""",12,4,8,0,0
"""61 to 180 days""",40,19,21,0,0
"""181 to 365 days""",14,8,6,0,0
"""366-730 days (1-2 years)""",26,23,3,0,0
"""731 days or more""",23,23,0,0,0
"""Total (persons moved into housing)""",140,92,48,0,0
"""Not yet moved into housing""",23,7,16,0,0
"""Data not collected""",84,45,39,0,0
"""Total persons""",247,144,103,0,0
