, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",23,9,14,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",1,1,0,0,0
"""22 to 30 days""",11,2,9,0,0
"""31 to 60 days""",25,10,15,0,0
"""61 to 180 days""",34,25,9,0,0
"""181 to 365 days""",18,14,4,0,0
"""366-730 days (1-2 years)""",27,24,3,0,0
"""731 days or more""",21,21,0,0,0
"""Total (persons moved into housing)""",160,106,54,0,0
"""Not yet moved into housing""",37,16,21,0,0
"""Data not collected""",132,84,48,0,0
"""Total persons""",329,206,123,0,0
