, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",2,15,17,0.12,2,20,22,0.09,0,0,0,0.0
"""Supplemental Security Income (SSI)""",5,1,6,0.83,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",6,0,6,1.0,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",2,1,3,0.67,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,2,2,0.0,0,0,0,0.0
"""Other source""",1,0,1,1.0,0,2,2,0.0,0,0,0,0.0
"""No Sources""",6,21,27,0.22,2,6,8,0.25,0,0,0,0.0
"""Unduplicated Total Adults""",18,39,57,,4,29,33,,0,0,0,
