"""Total Number of Persons Served""",600
"""Number of Adults (age 18 or over)""",448
"""Number of Children (under age 18)""",151
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",140
"""Number of Adult Leavers""",100
"""Number of Adult and Head of Household Leavers""",100
"""Number of Stayers""",460
"""Number of Adult Stayers""",348
"""Number of Veterans""",17
"""Number of Chronically Homeless Persons""",42
"""Number of Youth Under Age 25""",32
"""Number of Parenting Youth Under Age 25 with Children""",14
"""Number of Adult Heads of Household""",369
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",101
