, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",2,2,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",151,64,87,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",3,3,0,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",15,4,11,0,0
"""Staying or living with friends, permanent tenure""",2,2,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",9,1,8,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",182,76,106,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",9,9,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",18,18,0,0,0
"""Staying or living with friends, temporary tenure""",30,28,2,0,0
"""Place not meant for human habitation""",21,21,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",16,15,1,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",94,91,3,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",2,2,0,0,0
"""Jail, prison, or juvenile detention facility""",3,3,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",8,8,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",1,1,0,0,0
"""Client Doesn't Know/Client Refused""",12,12,0,0,0
"""Data Not Collected (no exit interview completed)""",39,39,0,0,0
"""Subtotal""",54,54,0,0,0
"""Total""",338,229,109,0,0
"""Total persons exiting to positive housing destinations""",76,23,53,0,0
"""Total persons whose destinations excluded them from the calculation""",1,1,0,0,0
"""Percentage""",0.23,0.1,0.49,0.0,0.0
