"""Total Number of Persons Served""",1228
"""Number of Adults (age 18 or over)""",891
"""Number of Children (under age 18)""",328
"""Number of Persons with Unknown Age""",9
"""Number of Leavers""",338
"""Number of Adult Leavers""",274
"""Number of Adult and Head of Household Leavers""",274
"""Number of Stayers""",890
"""Number of Adult Stayers""",617
"""Number of Veterans""",48
"""Number of Chronically Homeless Persons""",115
"""Number of Youth Under Age 25""",71
"""Number of Parenting Youth Under Age 25 with Children""",11
"""Number of Adult Heads of Household""",720
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",169
