, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",601,37,156
"""MEDICARE""",97,18,22
"""State Children's Health Insurance Program""",7,0,1
"""Veteran's Administration (VA) Medical Services""",21,13,3
"""Employer - Provided Health Insurance""",48,0,9
"""Health Insurance obtained through COBRA""",1,0,1
"""Private Pay Health Insurance""",38,2,5
"""State Health Insurance for Adults""",6,1,3
"""Indian Health Services Program""",2,0,0
"""Other""",3,0,0
"""No Health Insurance""",345,14,107
"""Client Doesn't Know/Client Refused""",4,0,2
"""Data Not Collected""",89,147,6
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,673,0
"""1 Source of Health Insurance""",641,43,150
"""More than 1 Source of Health Insurance""",86,13,22
