, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",41,20,21,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",10,1,9,0,0
"""22 to 30 days""",6,2,4,0,0
"""31 to 60 days""",12,10,2,0,0
"""61 to 180 days""",37,16,21,0,0
"""181 to 365 days""",19,10,9,0,0
"""366-730 days (1-2 years)""",25,19,6,0,0
"""731 days or more""",44,33,11,0,0
"""Total (persons moved into housing)""",194,111,83,0,0
"""Not yet moved into housing""",36,12,24,0,0
"""Data not collected""",14,7,7,0,0
"""Total persons""",244,130,114,0,0
