, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",124,8,10
"""$1 -  $150""",4,0,0
"""$151 - $250""",8,0,2
"""$251 - $500""",19,1,3
"""$501 - $1000""",64,15,8
"""$1001 - $1500""",57,14,14
"""$1501 - $2000""",38,6,7
"""$2001+""",30,5,8
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",51,4,18
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,221,0
"""Number of Adult Stayers without Required Annual Assessment""",0,51,0
"""Total Adults""",395,325,70
