, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",97,71,26,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",68,50,18,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",166,122,44,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",1,0,1,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",3,3,0,0,0
"""Jail, prison or juvenile detention facility""",7,7,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Subtotal""",14,13,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",1,1,0,0,0
"""Owned by client, no ongoing housing subsidy""",6,6,0,0,0
"""Owned by client, with ongoing housing subsidy""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",107,66,41,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",10,8,2,0,0
"""Hotel or motel paid for without emergency shelter voucher""",26,8,18,0,0
"""Staying or living in a friend''s room, apartment or house""",23,14,9,0,0
"""Staying or living in a family member''s room, apartment or house""",32,12,19,1,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",10,6,4,0,0
"""Subtotal""",216,122,93,1,0
"""Total""",396,257,138,1,0
