conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,317,29,3,all_persons,2022-08-01,2022-08-31,Q13c1,without_children,283
Mental Health Disorder,317,29,3,all_persons,2022-08-01,2022-08-31,Q13c1,with_only_children,0
Mental Health Disorder,317,29,3,all_persons,2022-08-01,2022-08-31,Q13c1,unknown_household_type,2
Alcohol Use Disorder,56,0,0,all_persons,2022-08-01,2022-08-31,Q13c1,without_children,55
Alcohol Use Disorder,56,0,0,all_persons,2022-08-01,2022-08-31,Q13c1,with_only_children,0
Alcohol Use Disorder,56,0,0,all_persons,2022-08-01,2022-08-31,Q13c1,unknown_household_type,1
Drug Use Disorder,49,3,0,all_persons,2022-08-01,2022-08-31,Q13c1,without_children,46
Drug Use Disorder,49,3,0,all_persons,2022-08-01,2022-08-31,Q13c1,with_only_children,0
Drug Use Disorder,49,3,0,all_persons,2022-08-01,2022-08-31,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,61,0,0,all_persons,2022-08-01,2022-08-31,Q13c1,without_children,61
Both Alcohol and Drug Use Disorders,61,0,0,all_persons,2022-08-01,2022-08-31,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,61,0,0,all_persons,2022-08-01,2022-08-31,Q13c1,unknown_household_type,0
Chronic Health Condition,163,7,1,all_persons,2022-08-01,2022-08-31,Q13c1,without_children,155
Chronic Health Condition,163,7,1,all_persons,2022-08-01,2022-08-31,Q13c1,with_only_children,0
Chronic Health Condition,163,7,1,all_persons,2022-08-01,2022-08-31,Q13c1,unknown_household_type,0
HIV/AIDS,103,7,0,all_persons,2022-08-01,2022-08-31,Q13c1,without_children,96
HIV/AIDS,103,7,0,all_persons,2022-08-01,2022-08-31,Q13c1,with_only_children,0
HIV/AIDS,103,7,0,all_persons,2022-08-01,2022-08-31,Q13c1,unknown_household_type,0
Development Disability,67,3,14,all_persons,2022-08-01,2022-08-31,Q13c1,without_children,49
Development Disability,67,3,14,all_persons,2022-08-01,2022-08-31,Q13c1,with_only_children,0
Development Disability,67,3,14,all_persons,2022-08-01,2022-08-31,Q13c1,unknown_household_type,1
Physical Disability,193,10,0,all_persons,2022-08-01,2022-08-31,Q13c1,without_children,183
Physical Disability,193,10,0,all_persons,2022-08-01,2022-08-31,Q13c1,with_only_children,0
Physical Disability,193,10,0,all_persons,2022-08-01,2022-08-31,Q13c1,unknown_household_type,0
