number_of_chronically_homeless_persons_by_income_category,population,start_date,end_date,question,status,count
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_start,18
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,5
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with Only Other Income,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_start,72
Chronically Homeless Persons with Only Other Income,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,20
Chronically Homeless Persons with Only Other Income,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,3
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_start,4
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,3
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with No Income,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_start,112
Chronically Homeless Persons with No Income,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,9
Chronically Homeless Persons with No Income,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,4
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_start,4
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,109
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,57
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Total Chronically Homeless Persons,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_start,210
Total Chronically Homeless Persons,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,203
Total Chronically Homeless Persons,chronically_homeless,2022-08-01,2022-08-31,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,7
