conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,337,34,3,all_persons,2022-08-01,2022-08-31,Q13a1,without_children,298
Mental Health Disorder,337,34,3,all_persons,2022-08-01,2022-08-31,Q13a1,with_only_children,0
Mental Health Disorder,337,34,3,all_persons,2022-08-01,2022-08-31,Q13a1,unknown_household_type,2
Alcohol Use Disorder,59,0,0,all_persons,2022-08-01,2022-08-31,Q13a1,without_children,58
Alcohol Use Disorder,59,0,0,all_persons,2022-08-01,2022-08-31,Q13a1,with_only_children,0
Alcohol Use Disorder,59,0,0,all_persons,2022-08-01,2022-08-31,Q13a1,unknown_household_type,1
Drug Use Disorder,56,5,0,all_persons,2022-08-01,2022-08-31,Q13a1,without_children,51
Drug Use Disorder,56,5,0,all_persons,2022-08-01,2022-08-31,Q13a1,with_only_children,0
Drug Use Disorder,56,5,0,all_persons,2022-08-01,2022-08-31,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,61,0,0,all_persons,2022-08-01,2022-08-31,Q13a1,without_children,61
Both Alcohol and Drug Use Disorders,61,0,0,all_persons,2022-08-01,2022-08-31,Q13a1,with_only_children,0
Both Alcohol and Drug Use Disorders,61,0,0,all_persons,2022-08-01,2022-08-31,Q13a1,unknown_household_type,0
Chronic Health Condition,173,8,3,all_persons,2022-08-01,2022-08-31,Q13a1,without_children,162
Chronic Health Condition,173,8,3,all_persons,2022-08-01,2022-08-31,Q13a1,with_only_children,0
Chronic Health Condition,173,8,3,all_persons,2022-08-01,2022-08-31,Q13a1,unknown_household_type,0
HIV/AIDS,104,7,0,all_persons,2022-08-01,2022-08-31,Q13a1,without_children,97
HIV/AIDS,104,7,0,all_persons,2022-08-01,2022-08-31,Q13a1,with_only_children,0
HIV/AIDS,104,7,0,all_persons,2022-08-01,2022-08-31,Q13a1,unknown_household_type,0
Development Disability,70,3,15,all_persons,2022-08-01,2022-08-31,Q13a1,without_children,51
Development Disability,70,3,15,all_persons,2022-08-01,2022-08-31,Q13a1,with_only_children,0
Development Disability,70,3,15,all_persons,2022-08-01,2022-08-31,Q13a1,unknown_household_type,1
Physical Disability,208,12,0,all_persons,2022-08-01,2022-08-31,Q13a1,without_children,196
Physical Disability,208,12,0,all_persons,2022-08-01,2022-08-31,Q13a1,with_only_children,0
Physical Disability,208,12,0,all_persons,2022-08-01,2022-08-31,Q13a1,unknown_household_type,0
