conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,22,6,0,exit,2022-08-01,2022-08-31,Q13b1,without_children,16
Mental Health Disorder,22,6,0,exit,2022-08-01,2022-08-31,Q13b1,with_only_children,0
Mental Health Disorder,22,6,0,exit,2022-08-01,2022-08-31,Q13b1,unknown_household_type,0
Alcohol Use Disorder,2,0,0,exit,2022-08-01,2022-08-31,Q13b1,without_children,2
Alcohol Use Disorder,2,0,0,exit,2022-08-01,2022-08-31,Q13b1,with_only_children,0
Alcohol Use Disorder,2,0,0,exit,2022-08-01,2022-08-31,Q13b1,unknown_household_type,0
Drug Use Disorder,7,2,0,exit,2022-08-01,2022-08-31,Q13b1,without_children,5
Drug Use Disorder,7,2,0,exit,2022-08-01,2022-08-31,Q13b1,with_only_children,0
Drug Use Disorder,7,2,0,exit,2022-08-01,2022-08-31,Q13b1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,0,0,0,exit,2022-08-01,2022-08-31,Q13b1,without_children,0
Both Alcohol and Drug Use Disorders,0,0,0,exit,2022-08-01,2022-08-31,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,0,0,0,exit,2022-08-01,2022-08-31,Q13b1,unknown_household_type,0
Chronic Health Condition,12,1,2,exit,2022-08-01,2022-08-31,Q13b1,without_children,9
Chronic Health Condition,12,1,2,exit,2022-08-01,2022-08-31,Q13b1,with_only_children,0
Chronic Health Condition,12,1,2,exit,2022-08-01,2022-08-31,Q13b1,unknown_household_type,0
HIV/AIDS,1,0,0,exit,2022-08-01,2022-08-31,Q13b1,without_children,1
HIV/AIDS,1,0,0,exit,2022-08-01,2022-08-31,Q13b1,with_only_children,0
HIV/AIDS,1,0,0,exit,2022-08-01,2022-08-31,Q13b1,unknown_household_type,0
Development Disability,3,0,1,exit,2022-08-01,2022-08-31,Q13b1,without_children,2
Development Disability,3,0,1,exit,2022-08-01,2022-08-31,Q13b1,with_only_children,0
Development Disability,3,0,1,exit,2022-08-01,2022-08-31,Q13b1,unknown_household_type,0
Physical Disability,15,2,0,exit,2022-08-01,2022-08-31,Q13b1,without_children,13
Physical Disability,15,2,0,exit,2022-08-01,2022-08-31,Q13b1,with_only_children,0
Physical Disability,15,2,0,exit,2022-08-01,2022-08-31,Q13b1,unknown_household_type,0
