count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_entry,774
No Sources,all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,23
No Sources,all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_exit_for_leavers,69
1 + Source(s),all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_entry,457
1 + Source(s),all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,29
1 + Source(s),all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_exit_for_leavers,29
Client Doesn't Know/Client Refused,all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_entry,9
Client Doesn't Know/Client Refused,all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_exit_for_leavers,1
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_entry,243
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,1262
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-08-01,2022-08-31,Q20b,benefit_at_exit_for_leavers,70
