report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,2002,all_persons,2022-08-01,2022-08-31,Q5a
Number of Adults (age 18 or over),1483,all_persons,2022-08-01,2022-08-31,Q5a
Number of Children (under age 18),501,all_persons,2022-08-01,2022-08-31,Q5a
Number of Persons with Unknown Age,18,all_persons,2022-08-01,2022-08-31,Q5a
Number of Leavers,261,all_persons,2022-08-01,2022-08-31,Q5a
Number of Adult Leavers,169,all_persons,2022-08-01,2022-08-31,Q5a
Number of Adult and Head of Household Leavers,169,all_persons,2022-08-01,2022-08-31,Q5a
Number of Stayers,1741,all_persons,2022-08-01,2022-08-31,Q5a
Number of Adult Stayers,1314,all_persons,2022-08-01,2022-08-31,Q5a
Number of Veterans,93,all_persons,2022-08-01,2022-08-31,Q5a
Number of Chronically Homeless Persons,219,all_persons,2022-08-01,2022-08-31,Q5a
Number of Youth Under Age 25,108,all_persons,2022-08-01,2022-08-31,Q5a
Number of Parenting Youth Under Age 25 with Children,11,all_persons,2022-08-01,2022-08-31,Q5a
Number of Adult Heads of Household,1204,all_persons,2022-08-01,2022-08-31,Q5a
Number of Child and Unknown-Age Heads of Household,6,all_persons,2022-08-01,2022-08-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,604,all_persons,2022-08-01,2022-08-31,Q5a
