, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",49,34,15,0,0
"""8 to 14 days""",8,6,2,0,0
"""15 to 21 days""",5,3,2,0,0
"""22 to 30 days""",13,4,9,0,0
"""31 to 60 days""",29,10,19,0,0
"""61 to 180 days""",77,32,45,0,0
"""181 to 365 days""",49,25,24,0,0
"""366-730 days (1-2 years)""",39,39,0,0,0
"""731 days or more""",56,47,9,0,0
"""Total (persons moved into housing)""",325,200,125,0,0
"""Not yet moved into housing""",37,20,17,0,0
"""Data not collected""",19,10,9,0,0
"""Total persons""",381,230,151,0,0
