, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",15,11,1
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",25,16,4
"""Social Security Disability Insurance (SSDI)""",13,7,1
"""VA Service - Connected Disability Compensation""",4,4,0
"""VA Non-Service Connected Disability Pension""",3,2,1
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",2,1,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",4,1,1
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",0,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",0,0,0
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,45,0
