, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",12,55,67,0.18,0,21,21,0.0,0,1,1,0.0
"""Supplemental Security Income (SSI)""",18,3,21,0.86,2,0,2,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",33,1,34,0.97,2,1,3,0.67,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",3,1,4,0.75,0,3,3,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,7,7,0.0,0,2,2,0.0,0,0,0,0.0
"""Other source""",3,1,4,0.75,0,2,2,0.0,0,1,1,0.0
"""No Sources""",11,38,49,0.22,1,8,9,0.11,0,0,0,0.0
"""Unduplicated Total Adults""",66,102,168,,4,32,36,,0,1,1,
