"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",173,9,74
"""Adults with Only Other Income""",167,34,60
"""Adults with Both Earned and Other Income""",36,3,15
"""Adults with No Income""",341,12,137
"""Adults with Client Doesn't Know/Client Refused Income Information""",2,0,1
"""Adults with Missing Income Information""",6,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,316,0
"""Number of Adult Stayers without Required Annual Assessment""",0,66,0
"""Total Adults""",727,440,287
"""1 or More Source of Income""",407,49,157
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,58,0
