, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",6,3,3,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",129,65,63,0,1
"""Rental by client, with VASH subsidy""",2,2,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",11,2,9,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",0,0,0,0,0
"""Staying or living with friends, permanent tenure""",13,5,8,0,0
"""Rental by client, with RRH or equivalent subsidy""",17,3,14,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",178,80,97,0,1
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",20,20,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",19,19,0,0,0
"""Staying or living with friends, temporary tenure""",24,24,0,0,0
"""Place not meant for human habitation""",24,24,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",27,25,2,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",114,112,2,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",2,2,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",5,5,0,0,0
"""Jail, prison, or juvenile detention facility""",0,0,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Subtotal""",8,8,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",2,2,0,0,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected (no exit interview completed)""",44,44,0,0,0
"""Subtotal""",47,47,0,0,0
"""Total""",347,247,99,0,1
"""Total persons exiting to positive housing destinations""",74,15,59,0,0
"""Total persons whose destinations excluded them from the calculation""",0,0,0,0,0
"""Percentage""",0.21,0.06,0.6,0.0,0.0
