"""Total Number of Persons Served""",955
"""Number of Adults (age 18 or over)""",727
"""Number of Children (under age 18)""",224
"""Number of Persons with Unknown Age""",4
"""Number of Leavers""",347
"""Number of Adult Leavers""",287
"""Number of Adult and Head of Household Leavers""",288
"""Number of Stayers""",608
"""Number of Adult Stayers""",440
"""Number of Veterans""",42
"""Number of Chronically Homeless Persons""",100
"""Number of Youth Under Age 25""",67
"""Number of Parenting Youth Under Age 25 with Children""",8
"""Number of Adult Heads of Household""",624
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",124
