, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",210,12,89
"""Unemployment Insurance""",2,0,2
"""Supplemental Security Income (SSI)""",82,24,25
"""Social Security Disability Insurance (SSDI)""",95,10,38
"""VA Service - Connected Disability Compensation""",6,4,0
"""VA Non-Service Connected Disability Pension""",4,3,2
"""Private Disability Insurance""",2,0,1
"""Worker's Compensation""",2,0,2
"""Temporary Assistance for Needy Families (TANF)""",19,1,7
"""General Assistance (GA)""",1,0,1
"""Retirement Income from Social Security""",8,1,1
"""Pension or retirement income from a former job""",8,0,1
"""Child Support""",20,1,9
"""Alimony and other spousal support""",1,0,0
"""Other Source""",5,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,58,0
