, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",8,2,3
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",10,6,2
"""Social Security Disability Insurance (SSDI)""",6,1,0
"""VA Service - Connected Disability Compensation""",6,4,0
"""VA Non-Service Connected Disability Pension""",3,2,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0
"""General Assistance (GA)""",1,0,1
"""Retirement Income from Social Security""",1,1,1
"""Pension or retirement income from a former job""",3,0,1
"""Child Support""",0,0,0
"""Alimony and other spousal support""",1,0,0
"""Other Source""",0,0,0
"""Veterans with Income Information at Start and Annual Assessment/Exit""",0,14,0
