, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",150,107,43,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",152,131,21,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",303,239,64,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",3,3,0,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",10,10,0,0,0
"""Jail, prison or juvenile detention facility""",11,11,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",2,2,0,0,0
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Subtotal""",28,28,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",10,10,0,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",178,141,36,0,1
"""Rental by client, with VASH housing subsidy""",3,3,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",7,6,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",58,48,10,0,0
"""Staying or living in a friend''s room, apartment or house""",58,53,5,0,0
"""Staying or living in a family member''s room, apartment or house""",67,41,26,0,0
"""Client Doesn''t Know/Client Refused""",2,2,0,0,0
"""Data not collected""",12,11,1,0,0
"""Subtotal""",397,317,79,0,1
"""Total""",728,584,143,0,1
