ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,48,all_persons,2017-05-01,2017-05-31,Q26b,without_children,48
Chronically Homeless ,48,all_persons,2017-05-01,2017-05-31,Q26b,with_children_and_adults,0
Chronically Homeless ,48,all_persons,2017-05-01,2017-05-31,Q26b,with_only_children,0
Chronically Homeless ,48,all_persons,2017-05-01,2017-05-31,Q26b,unknown_household_type,0
Not Chronically Homeless,439,all_persons,2017-05-01,2017-05-31,Q26b,without_children,212
Not Chronically Homeless,439,all_persons,2017-05-01,2017-05-31,Q26b,with_children_and_adults,215
Not Chronically Homeless,439,all_persons,2017-05-01,2017-05-31,Q26b,with_only_children,11
Not Chronically Homeless,439,all_persons,2017-05-01,2017-05-31,Q26b,unknown_household_type,1
Client Doesn't Know/Client Refused,2,all_persons,2017-05-01,2017-05-31,Q26b,without_children,2
Client Doesn't Know/Client Refused,2,all_persons,2017-05-01,2017-05-31,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_persons,2017-05-01,2017-05-31,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2017-05-01,2017-05-31,Q26b,unknown_household_type,0
Data Not Collected,14,all_persons,2017-05-01,2017-05-31,Q26b,without_children,11
Data Not Collected,14,all_persons,2017-05-01,2017-05-31,Q26b,with_children_and_adults,1
Data Not Collected,14,all_persons,2017-05-01,2017-05-31,Q26b,with_only_children,0
Data Not Collected,14,all_persons,2017-05-01,2017-05-31,Q26b,unknown_household_type,2
