number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,92
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,6
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,7
Adults with Only Other Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,114
Adults with Only Other Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,20
Adults with Only Other Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,17
Adults with Both Earned and Other Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,13
Adults with Both Earned and Other Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,1
Adults with No Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,138
Adults with No Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,17
Adults with No Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,22
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,1
Adults with Missing Income Information,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,12
Adults with Missing Income Information,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,1
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,188
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,89
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,370
Total Adults,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,321
Total Adults,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,49
1 or More Source of Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,234
1 or More Source of Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,29
1 or More Source of Income,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,26
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_annual_assessment_stayers,44
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-05-01,2017-05-31,Q18,number_of_adults_at_exit_leavers,0
