ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,48,all_households,2017-05-01,2017-05-31,Q26a,without_children,48
Chronically Homeless ,48,all_households,2017-05-01,2017-05-31,Q26a,with_children_and_adults,0
Chronically Homeless ,48,all_households,2017-05-01,2017-05-31,Q26a,with_only_children,0
Chronically Homeless ,48,all_households,2017-05-01,2017-05-31,Q26a,unknown_household_type,0
Not Chronically Homeless,247,all_households,2017-05-01,2017-05-31,Q26a,without_children,185
Not Chronically Homeless,247,all_households,2017-05-01,2017-05-31,Q26a,with_children_and_adults,61
Not Chronically Homeless,247,all_households,2017-05-01,2017-05-31,Q26a,with_only_children,1
Not Chronically Homeless,247,all_households,2017-05-01,2017-05-31,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2017-05-01,2017-05-31,Q26a,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2017-05-01,2017-05-31,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2017-05-01,2017-05-31,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,2,all_households,2017-05-01,2017-05-31,Q26a,unknown_household_type,0
Data Not Collected,11,all_households,2017-05-01,2017-05-31,Q26a,without_children,10
Data Not Collected,11,all_households,2017-05-01,2017-05-31,Q26a,with_children_and_adults,1
Data Not Collected,11,all_households,2017-05-01,2017-05-31,Q26a,with_only_children,0
Data Not Collected,11,all_households,2017-05-01,2017-05-31,Q26a,unknown_household_type,0
