veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,16,all_households,2017-05-01,2017-05-31,Q25b,without_children,16
Chronically Homeless Veteran,16,all_households,2017-05-01,2017-05-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,16,all_households,2017-05-01,2017-05-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,4,all_households,2017-05-01,2017-05-31,Q25b,without_children,4
Non-Chronically Homeless Veteran,4,all_households,2017-05-01,2017-05-31,Q25b,with_children_and_adults,0
Non-Chronically Homeless Veteran,4,all_households,2017-05-01,2017-05-31,Q25b,unknown_household_type,0
Not a Veteran,273,all_households,2017-05-01,2017-05-31,Q25b,without_children,212
Not a Veteran,273,all_households,2017-05-01,2017-05-31,Q25b,with_children_and_adults,61
Not a Veteran,273,all_households,2017-05-01,2017-05-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_households,2017-05-01,2017-05-31,Q25b,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2017-05-01,2017-05-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2017-05-01,2017-05-31,Q25b,unknown_household_type,0
Data Not Collected,12,all_households,2017-05-01,2017-05-31,Q25b,without_children,12
Data Not Collected,12,all_households,2017-05-01,2017-05-31,Q25b,with_children_and_adults,0
Data Not Collected,12,all_households,2017-05-01,2017-05-31,Q25b,unknown_household_type,0
