length,total,population,start_date,end_date,question,status,count
30 days or less,137,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,27
30 days or less,137,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,110
31 to 60 days,84,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,20
31 to 60 days,84,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,64
61 to 90 days,38,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,10
61 to 90 days,38,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,28
91 to 180 days,45,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,4
91 to 180 days,45,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,41
181 to 365 days,55,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,4
181 to 365 days,55,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,51
366 to 730 Days (1-2 Yrs),44,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,1
366 to 730 Days (1-2 Yrs),44,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,43
"731 to 1,095 Days (2-3 Yrs)",14,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",14,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,14
"1,096 to 1,460 Days (3-4 Yrs)",7,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",7,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,7
"1,461 to 1,825 Days (5-5 Yrs)",13,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",13,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,13
"More than 1,825 Days (>5 Yrs)",66,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,1
"More than 1,825 Days (>5 Yrs)",66,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,65
Data Not Collected,0,all_persons,2017-05-01,2017-05-31,Q22a1,leavers,0
Data Not Collected,0,all_persons,2017-05-01,2017-05-31,Q22a1,stayers,0
