, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",1,15,16,0.06,3,15,18,0.17,0,0,0,0.0
"""Supplemental Security Income (SSI)""",6,2,8,0.75,0,1,1,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",8,1,9,0.89,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,2,2,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",0,5,5,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,2,4,6,0.33,0,0,0,0.0
"""Other source""",0,0,0,0.0,1,2,3,0.33,0,0,0,0.0
"""No Sources""",17,30,47,0.36,2,15,17,0.12,0,0,0,0.0
"""Unduplicated Total Adults""",32,54,86,,6,31,37,,0,0,0,
