, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",190,2,65
"""$1 -  $150""",5,0,2
"""$151 - $250""",2,0,0
"""$251 - $500""",14,0,1
"""$501 - $1000""",85,4,22
"""$1001 - $1500""",59,4,11
"""$1501 - $2000""",18,0,9
"""$2001+""",25,2,12
"""Client Doesn't Know/Client Refused""",2,0,2
"""Data Not Collected""",40,0,16
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,205,0
"""Number of Adult Stayers without Required Annual Assessment""",0,83,0
"""Total Adults""",440,300,140
