, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",85,61,24,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Place not meant for human habitation""",54,45,9,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",139,106,33,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",7,7,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",9,9,0,0,0
"""Jail, prison or juvenile detention facility""",11,11,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",29,29,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",25,13,12,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",132,102,30,0,0
"""Rental by client, with VASH housing subsidy""",2,1,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",1,1,0,0,0
"""Hotel or motel paid for without emergency shelter voucher""",19,15,4,0,0
"""Staying or living in a friend''s room, apartment or house""",48,37,11,0,0
"""Staying or living in a family member''s room, apartment or house""",35,28,7,0,0
"""Client Doesn''t Know/Client Refused""",1,1,0,0,0
"""Data not collected""",7,6,0,0,1
"""Subtotal""",272,206,65,0,1
"""Total""",440,341,98,0,1
