"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",89,1,27
"""Adults with Only Other Income""",104,8,24
"""Adults with Both Earned and Other Income""",15,1,6
"""Adults with No Income""",220,2,76
"""Adults with Client Doesn't Know/Client Refused Income Information""",1,0,1
"""Adults with Missing Income Information""",10,0,5
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,205,0
"""Number of Adult Stayers without Required Annual Assessment""",0,83,0
"""Total Adults""",440,300,140
"""1 or More Source of Income""",229,10,64
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,12,0
