"""Total Number of Persons Served""",572
"""Number of Adults (age 18 or over)""",440
"""Number of Children (under age 18)""",131
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",199
"""Number of Adult Leavers""",140
"""Number of Adult and Head of Household Leavers""",140
"""Number of Stayers""",373
"""Number of Adult Stayers""",300
"""Number of Veterans""",22
"""Number of Chronically Homeless Persons""",27
"""Number of Youth Under Age 25""",34
"""Number of Parenting Youth Under Age 25 with Children""",8
"""Number of Adult Heads of Household""",354
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",95
