, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",70,35,35,0,0
"""8 to 14 days""",5,5,0,0,0
"""15 to 21 days""",5,1,4,0,0
"""22 to 30 days""",13,4,9,0,0
"""31 to 60 days""",27,12,15,0,0
"""61 to 180 days""",37,24,13,0,0
"""181 to 365 days""",27,11,16,0,0
"""366-730 days (1-2 years)""",26,25,1,0,0
"""731 days or more""",44,34,10,0,0
"""Total (persons moved into housing)""",254,151,103,0,0
"""Not yet moved into housing""",18,5,13,0,0
"""Data not collected""",12,8,4,0,0
"""Total persons""",284,164,120,0,0
