, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",12,24,36,0.33,6,22,28,0.21,0,0,0,0.0
"""Supplemental Security Income (SSI)""",14,1,15,0.93,4,3,7,0.57,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",20,0,20,1.0,3,0,3,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,2,3,0.33,0,2,2,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",3,2,6,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",2,0,2,1.0,1,0,1,1.0,0,0,0,0.0
"""Child Support""",1,2,3,0.33,2,1,3,0.67,0,0,0,0.0
"""Other source""",2,1,3,0.67,0,1,1,0.0,0,0,0,0.0
"""No Sources""",16,28,44,0.36,2,12,14,0.14,0,0,0,0.0
"""Unduplicated Total Adults""",61,58,119,,14,37,51,,0,0,0,
