"""Total Number of Persons Served""",1159
"""Number of Adults (age 18 or over)""",820
"""Number of Children (under age 18)""",334
"""Number of Persons with Unknown Age""",5
"""Number of Leavers""",360
"""Number of Adult Leavers""",283
"""Number of Adult and Head of Household Leavers""",284
"""Number of Stayers""",799
"""Number of Adult Stayers""",537
"""Number of Veterans""",38
"""Number of Chronically Homeless Persons""",108
"""Number of Youth Under Age 25""",78
"""Number of Parenting Youth Under Age 25 with Children""",15
"""Number of Adult Heads of Household""",670
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",150
