, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",18,10,3
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",26,18,6
"""Social Security Disability Insurance (SSDI)""",18,9,5
"""VA Service - Connected Disability Compensation""",5,4,0
"""VA Non-Service Connected Disability Pension""",2,2,0
"""Private Disability Insurance""",1,1,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",2,0,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",3,1,3
"""Pension or retirement income from a former job""",2,1,1
"""Child Support""",0,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",1,0,1
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,48,0
