"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",207,8,55
"""Adults with Only Other Income""",167,36,50
"""Adults with Both Earned and Other Income""",39,3,10
"""Adults with No Income""",389,13,165
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",15,0,3
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,387,0
"""Number of Adult Stayers without Required Annual Assessment""",0,90,0
"""Total Adults""",820,537,283
"""1 or More Source of Income""",441,49,119
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,60,0
