, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",3,2,1,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",175,64,111,0,0
"""Rental by client, with VASH subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",9,5,4,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Staying or living with family, permanent tenure""",15,2,13,0,0
"""Staying or living with friends, permanent tenure""",2,2,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",4,4,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Subtotal""",212,83,129,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",18,18,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Staying or living with family, temporary tenure""",20,20,0,0,0
"""Staying or living with friends, temporary tenure""",29,29,0,0,0
"""Place not meant for human habitation""",40,40,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",26,26,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",134,134,0,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",3,3,0,0,0
"""Jail, prison, or juvenile detention facility""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",4,4,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",3,3,0,0,0
"""Client Doesn't Know/Client Refused""",3,3,0,0,0
"""Data Not Collected (no exit interview completed)""",4,4,0,0,0
"""Subtotal""",10,10,0,0,0
"""Total""",360,231,129,0,0
"""Total persons exiting to positive housing destinations""",55,21,34,0,0
"""Total persons whose destinations excluded them from the calculation""",1,1,0,0,0
"""Percentage""",0.15,0.09,0.26,0.0,0.0
