, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",102,75,27,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",153,136,17,0,0
"""Safe Haven""",2,1,1,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",259,214,45,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",3,3,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",11,11,0,0,0
"""Jail, prison or juvenile detention facility""",18,17,1,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Subtotal""",35,34,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",12,9,3,0,0
"""Owned by client, with ongoing housing subsidy""",2,0,2,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,0,1,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",1,1,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",217,139,77,0,1
"""Rental by client, with VASH housing subsidy""",2,2,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",7,6,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",89,61,28,0,0
"""Staying or living in a friend''s room, apartment or house""",88,71,17,0,0
"""Staying or living in a family member''s room, apartment or house""",95,56,39,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",14,10,4,0,0
"""Subtotal""",528,355,172,0,1
"""Total""",822,603,218,0,1
