, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",206,173,32,0,1
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Place not meant for human habitation""",313,282,30,0,1
"""Safe Haven""",7,6,1,0,0
"""Host Home""",1,0,1,0,0
"""Subtotal""",530,464,64,0,2
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",11,11,0,0,0
"""Substance abuse treatment facility or detox center""",12,12,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",31,31,0,0,0
"""Jail, prison or juvenile detention facility""",35,35,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",4,4,0,0,0
"""Subtotal""",93,93,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",10,9,1,0,0
"""Owned by client, with ongoing housing subsidy""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",3,2,1,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",242,164,73,0,5
"""Rental by client, with VASH housing subsidy""",1,0,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,1,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",13,8,5,0,0
"""Hotel or motel paid for without emergency shelter voucher""",153,110,41,0,2
"""Staying or living in a friend''s room, apartment or house""",142,115,27,0,0
"""Staying or living in a family member''s room, apartment or house""",150,99,51,0,0
"""Client Doesn''t Know/Client Refused""",20,20,0,0,0
"""Data not collected""",58,35,21,0,2
"""Subtotal""",798,568,221,0,9
"""Total""",1421,1125,285,0,11
