, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",179,114,64,0,1
"""8 to 14 days""",35,23,12,0,0
"""15 to 21 days""",26,19,7,0,0
"""22 to 30 days""",17,15,2,0,0
"""31 to 60 days""",35,28,7,0,0
"""61 to 180 days""",114,75,39,0,0
"""181 to 365 days""",59,52,7,0,0
"""366-730 days (1-2 years)""",53,53,0,0,0
"""731 days or more""",113,100,13,0,0
"""Total (persons moved into housing)""",631,479,151,0,1
"""Not yet moved into housing""",32,25,7,0,0
"""Data not collected""",83,37,38,5,3
"""Total persons""",746,541,196,5,4
