"""Total Number of Persons Served""",1855
"""Number of Adults (age 18 or over)""",1417
"""Number of Children (under age 18)""",421
"""Number of Persons with Unknown Age""",17
"""Number of Leavers""",297
"""Number of Adult Leavers""",214
"""Number of Adult and Head of Household Leavers""",215
"""Number of Stayers""",1558
"""Number of Adult Stayers""",1203
"""Number of Veterans""",83
"""Number of Chronically Homeless Persons""",227
"""Number of Youth Under Age 25""",109
"""Number of Parenting Youth Under Age 25 with Children""",14
"""Number of Adult Heads of Household""",1153
"""Number of Child and Unknown-Age Heads of Household""",4
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",462
