, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",577,10,73
"""$1 -  $150""",5,0,0
"""$151 - $250""",6,0,2
"""$251 - $500""",29,2,4
"""$501 - $1000""",172,17,18
"""$1001 - $1500""",105,15,13
"""$1501 - $2000""",107,6,13
"""$2001+""",105,6,20
"""Client Doesn't Know/Client Refused""",4,0,1
"""Data Not Collected""",307,0,70
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,741,0
"""Number of Adult Stayers without Required Annual Assessment""",0,406,0
"""Total Adults""",1417,1203,214
