, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",13,12,25,0.52,1,12,13,0.08,0,0,0,0.0
"""Supplemental Security Income (SSI)""",16,2,18,0.89,0,1,1,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",13,1,14,0.93,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",2,0,2,1.0,1,1,2,0.5,0,0,0,0.0
"""Retirement Income from Social Security""",2,1,3,0.67,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,2,2,0.0,0,0,0,0.0
"""Other source""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",16,33,49,0.33,1,14,15,0.07,0,0,0,0.0
"""Unduplicated Total Adults""",53,49,102,,3,27,30,,0,0,0,
