, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",274,10,38
"""Unemployment Insurance""",4,0,0
"""Supplemental Security Income (SSI)""",160,21,20
"""Social Security Disability Insurance (SSDI)""",108,13,13
"""VA Service - Connected Disability Compensation""",10,1,2
"""VA Non-Service Connected Disability Pension""",6,3,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",21,0,5
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",27,5,2
"""Pension or retirement income from a former job""",6,0,0
"""Child Support""",13,0,2
"""Alimony and other spousal support""",0,0,0
"""Other Source""",12,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,56,0
