, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",79,35,41,0,3
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",10,6,4,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",11,4,7,0,0
"""Staying or living with friends, permanent tenure""",8,6,2,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",14,3,11,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Subtotal""",123,55,65,0,3
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",35,22,13,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",29,12,17,0,0
"""Staying or living with friends, temporary tenure""",29,13,16,0,0
"""Place not meant for human habitation""",34,25,7,0,2
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",23,16,7,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",150,88,60,0,2
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",0,0,0,0,0
"""Jail, prison, or juvenile detention facility""",4,2,2,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",5,3,2,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",0,0,0,0,0
"""Client Doesn't Know/Client Refused""",8,6,2,0,0
"""Data Not Collected (no exit interview completed)""",11,9,0,0,2
"""Subtotal""",19,15,2,0,2
"""Total""",297,161,129,0,7
"""Total persons exiting to positive housing destinations""",53,24,29,0,0
"""Total persons whose destinations excluded them from the calculation""",0,0,0,0,0
"""Percentage""",0.18,0.15,0.22,0.0,0.0
