persons_served,total,population,start_date,end_date,question,household_type,count
Adults,430,all_persons,2017-11-01,2017-11-30,Q7a,without_children,327
Adults,430,all_persons,2017-11-01,2017-11-30,Q7a,with_children_and_adults,102
Adults,430,all_persons,2017-11-01,2017-11-30,Q7a,with_only_children,0
Adults,430,all_persons,2017-11-01,2017-11-30,Q7a,unknown_household_type,1
Children,162,all_persons,2017-11-01,2017-11-30,Q7a,without_children,0
Children,162,all_persons,2017-11-01,2017-11-30,Q7a,with_children_and_adults,151
Children,162,all_persons,2017-11-01,2017-11-30,Q7a,with_only_children,11
Children,162,all_persons,2017-11-01,2017-11-30,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2017-11-01,2017-11-30,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-11-01,2017-11-30,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2017-11-01,2017-11-30,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-11-01,2017-11-30,Q7a,unknown_household_type,0
Data Not Collected,2,all_persons,2017-11-01,2017-11-30,Q7a,without_children,0
Data Not Collected,2,all_persons,2017-11-01,2017-11-30,Q7a,with_children_and_adults,0
Data Not Collected,2,all_persons,2017-11-01,2017-11-30,Q7a,with_only_children,0
Data Not Collected,2,all_persons,2017-11-01,2017-11-30,Q7a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,135,all_persons,2017-11-01,2017-11-30,Q7a,without_children,76
For PSH and RRH - the total persons served who moved into housing,135,all_persons,2017-11-01,2017-11-30,Q7a,with_children_and_adults,59
For PSH and RRH - the total persons served who moved into housing,135,all_persons,2017-11-01,2017-11-30,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,135,all_persons,2017-11-01,2017-11-30,Q7a,unknown_household_type,0
