dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,15,all_persons,2017-11-01,2017-11-30,Q14b,without_children,8
Yes,15,all_persons,2017-11-01,2017-11-30,Q14b,with_children_and_adults,7
Yes,15,all_persons,2017-11-01,2017-11-30,Q14b,with_only_children,0
Yes,15,all_persons,2017-11-01,2017-11-30,Q14b,unknown_household_type,0
No,40,all_persons,2017-11-01,2017-11-30,Q14b,without_children,26
No,40,all_persons,2017-11-01,2017-11-30,Q14b,with_children_and_adults,14
No,40,all_persons,2017-11-01,2017-11-30,Q14b,with_only_children,0
No,40,all_persons,2017-11-01,2017-11-30,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2017-11-01,2017-11-30,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-11-01,2017-11-30,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2017-11-01,2017-11-30,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-11-01,2017-11-30,Q14b,unknown_household_type,0
Data Not Collected,14,all_persons,2017-11-01,2017-11-30,Q14b,without_children,14
Data Not Collected,14,all_persons,2017-11-01,2017-11-30,Q14b,with_children_and_adults,0
Data Not Collected,14,all_persons,2017-11-01,2017-11-30,Q14b,with_only_children,0
Data Not Collected,14,all_persons,2017-11-01,2017-11-30,Q14b,unknown_household_type,0
