income_range,population,start_date,end_date,question,status,count
No Income,adults,2017-11-01,2017-11-30,Q16,income_at_start,147
No Income,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,8
No Income,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,49
$1 -  $150,adults,2017-11-01,2017-11-30,Q16,income_at_start,5
$1 -  $150,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,1
$1 -  $150,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,3
$151 - $250,adults,2017-11-01,2017-11-30,Q16,income_at_start,3
$151 - $250,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,0
$251 - $500,adults,2017-11-01,2017-11-30,Q16,income_at_start,16
$251 - $500,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$251 - $500,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,2
$501 - $1000,adults,2017-11-01,2017-11-30,Q16,income_at_start,84
$501 - $1000,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,10
$501 - $1000,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,22
$1001 - $1500,adults,2017-11-01,2017-11-30,Q16,income_at_start,66
$1001 - $1500,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,11
$1001 - $1500,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,9
$1501 - $2000,adults,2017-11-01,2017-11-30,Q16,income_at_start,28
$1501 - $2000,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,6
$1501 - $2000,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,7
$2001+,adults,2017-11-01,2017-11-30,Q16,income_at_start,30
$2001+,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,3
$2001+,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,7
Client Doesn't Know/Client Refused,adults,2017-11-01,2017-11-30,Q16,income_at_start,3
Client Doesn't Know/Client Refused,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,3
Data Not Collected,adults,2017-11-01,2017-11-30,Q16,income_at_start,48
Data Not Collected,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,5
Data Not Collected,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,11
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2017-11-01,2017-11-30,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,205
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2017-11-01,2017-11-30,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,68
Number of Adult Stayers without Required Annual Assessment,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2017-11-01,2017-11-30,Q16,income_at_start,430
Total Adults,adults,2017-11-01,2017-11-30,Q16,income_at_latest_annual_assessment_for_stayers,317
Total Adults,adults,2017-11-01,2017-11-30,Q16,income_at_exit_for_leavers,113
