ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,67,all_persons,2017-11-01,2017-11-30,Q26b,without_children,59
Chronically Homeless ,67,all_persons,2017-11-01,2017-11-30,Q26b,with_children_and_adults,7
Chronically Homeless ,67,all_persons,2017-11-01,2017-11-30,Q26b,with_only_children,1
Chronically Homeless ,67,all_persons,2017-11-01,2017-11-30,Q26b,unknown_household_type,0
Not Chronically Homeless,500,all_persons,2017-11-01,2017-11-30,Q26b,without_children,243
Not Chronically Homeless,500,all_persons,2017-11-01,2017-11-30,Q26b,with_children_and_adults,246
Not Chronically Homeless,500,all_persons,2017-11-01,2017-11-30,Q26b,with_only_children,10
Not Chronically Homeless,500,all_persons,2017-11-01,2017-11-30,Q26b,unknown_household_type,1
Client Doesn't Know/Client Refused,7,all_persons,2017-11-01,2017-11-30,Q26b,without_children,7
Client Doesn't Know/Client Refused,7,all_persons,2017-11-01,2017-11-30,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,7,all_persons,2017-11-01,2017-11-30,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,7,all_persons,2017-11-01,2017-11-30,Q26b,unknown_household_type,0
Data Not Collected,20,all_persons,2017-11-01,2017-11-30,Q26b,without_children,18
Data Not Collected,20,all_persons,2017-11-01,2017-11-30,Q26b,with_children_and_adults,0
Data Not Collected,20,all_persons,2017-11-01,2017-11-30,Q26b,with_only_children,0
Data Not Collected,20,all_persons,2017-11-01,2017-11-30,Q26b,unknown_household_type,2
