dv_history,total,population,start_date,end_date,question,household_type,count
Yes,69,all_persons,2017-11-01,2017-11-30,Q14a,without_children,48
Yes,69,all_persons,2017-11-01,2017-11-30,Q14a,with_children_and_adults,21
Yes,69,all_persons,2017-11-01,2017-11-30,Q14a,with_only_children,0
Yes,69,all_persons,2017-11-01,2017-11-30,Q14a,unknown_household_type,0
No,334,all_persons,2017-11-01,2017-11-30,Q14a,without_children,254
No,334,all_persons,2017-11-01,2017-11-30,Q14a,with_children_and_adults,79
No,334,all_persons,2017-11-01,2017-11-30,Q14a,with_only_children,1
No,334,all_persons,2017-11-01,2017-11-30,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_persons,2017-11-01,2017-11-30,Q14a,without_children,2
Client Doesn't Know/Client Refused,2,all_persons,2017-11-01,2017-11-30,Q14a,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_persons,2017-11-01,2017-11-30,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2017-11-01,2017-11-30,Q14a,unknown_household_type,0
Data Not Collected,27,all_persons,2017-11-01,2017-11-30,Q14a,without_children,23
Data Not Collected,27,all_persons,2017-11-01,2017-11-30,Q14a,with_children_and_adults,3
Data Not Collected,27,all_persons,2017-11-01,2017-11-30,Q14a,with_only_children,0
Data Not Collected,27,all_persons,2017-11-01,2017-11-30,Q14a,unknown_household_type,1
