, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",3,21,24,0.13,0,18,18,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",5,1,6,0.83,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",11,1,12,0.92,0,1,1,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,3,3,0.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",1,5,6,0.17,0,5,5,0.0,0,0,0,0.0
"""Other source""",2,2,4,0.5,0,0,0,0.0,0,0,0,0.0
"""No Sources""",9,38,47,0.19,0,9,9,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",27,66,93,,0,29,29,,0,0,0,
