"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",91,1,35
"""Adults with Only Other Income""",105,2,24
"""Adults with Both Earned and Other Income""",16,0,8
"""Adults with No Income""",193,1,69
"""Adults with Client Doesn't Know/Client Refused Income Information""",1,0,0
"""Adults with Missing Income Information""",4,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,185,0
"""Number of Adult Stayers without Required Annual Assessment""",0,85,0
"""Total Adults""",410,274,136
"""1 or More Source of Income""",227,3,72
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,4,0
