"""Total Number of Persons Served""",552
"""Number of Adults (age 18 or over)""",410
"""Number of Children (under age 18)""",142
"""Number of Persons with Unknown Age""",0
"""Number of Leavers""",173
"""Number of Adult Leavers""",136
"""Number of Adult and Head of Household Leavers""",136
"""Number of Stayers""",379
"""Number of Adult Stayers""",274
"""Number of Veterans""",17
"""Number of Chronically Homeless Persons""",19
"""Number of Youth Under Age 25""",33
"""Number of Parenting Youth Under Age 25 with Children""",8
"""Number of Adult Heads of Household""",305
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",89
