length,total,population,start_date,end_date,question,status,count
30 days or less,479,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,274
30 days or less,479,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,205
31 to 60 days,96,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,21
31 to 60 days,96,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,75
61 to 90 days,109,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,10
61 to 90 days,109,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,99
91 to 180 days,257,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,8
91 to 180 days,257,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,249
181 to 365 days,392,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,4
181 to 365 days,392,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,388
366 to 730 Days (1-2 Yrs),160,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,4
366 to 730 Days (1-2 Yrs),160,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,156
"731 to 1,095 Days (2-3 Yrs)",240,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,3
"731 to 1,095 Days (2-3 Yrs)",240,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,237
"1,096 to 1,460 Days (3-4 Yrs)",142,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",142,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,142
"1,461 to 1,825 Days (5-5 Yrs)",45,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",45,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,45
"More than 1,825 Days (>5 Yrs)",69,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,0
"More than 1,825 Days (>5 Yrs)",69,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,69
Data Not Collected,0,all_persons,2022-06-01,2022-06-30,Q22a1,leavers,0
Data Not Collected,0,all_persons,2022-06-01,2022-06-30,Q22a1,stayers,0
