income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,10,30,40,0.25,3,13,16,0.19,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
Supplemental Security Income (SSI),22,2,24,0.92,1,1,2,0.5,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
Social Security Disability Insurance (SSDI),9,0,9,1.0,1,0,1,1.0,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,1,0,1,1.0,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
Private Disability Insurance,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
Temporary Assistance for Needy Families (TANF),1,2,3,0.33,1,1,2,0.5,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
Retirement Income from Social Security,2,2,4,0.5,0,0,0,0.0,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
Child Support,0,1,1,0.0,1,2,3,0.33,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
Other source,1,1,2,0.5,1,0,1,1.0,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
No Sources,15,30,45,0.33,0,9,9,0.0,0,0,0,0.0,adults,2022-06-01,2022-06-30,Q19b
Unduplicated Total Adults,54,64,118,NA,6,22,28,NA,0,0,0,NA,adults,2022-06-01,2022-06-30,Q19b
