race,total,population,start_date,end_date,question,household_type,count
White,1363,all_persons,2022-06-01,2022-06-30,Q12a,without_children,839
White,1363,all_persons,2022-06-01,2022-06-30,Q12a,with_children_and_adults,489
White,1363,all_persons,2022-06-01,2022-06-30,Q12a,with_only_children,26
White,1363,all_persons,2022-06-01,2022-06-30,Q12a,unknown_household_type,9
"Black, African American, or African",437,all_persons,2022-06-01,2022-06-30,Q12a,without_children,249
"Black, African American, or African",437,all_persons,2022-06-01,2022-06-30,Q12a,with_children_and_adults,173
"Black, African American, or African",437,all_persons,2022-06-01,2022-06-30,Q12a,with_only_children,13
"Black, African American, or African",437,all_persons,2022-06-01,2022-06-30,Q12a,unknown_household_type,2
Asian or Asian American,10,all_persons,2022-06-01,2022-06-30,Q12a,without_children,2
Asian or Asian American,10,all_persons,2022-06-01,2022-06-30,Q12a,with_children_and_adults,5
Asian or Asian American,10,all_persons,2022-06-01,2022-06-30,Q12a,with_only_children,0
Asian or Asian American,10,all_persons,2022-06-01,2022-06-30,Q12a,unknown_household_type,3
"American Indian, Alaska Native, or Indigenous",12,all_persons,2022-06-01,2022-06-30,Q12a,without_children,12
"American Indian, Alaska Native, or Indigenous",12,all_persons,2022-06-01,2022-06-30,Q12a,with_children_and_adults,0
"American Indian, Alaska Native, or Indigenous",12,all_persons,2022-06-01,2022-06-30,Q12a,with_only_children,0
"American Indian, Alaska Native, or Indigenous",12,all_persons,2022-06-01,2022-06-30,Q12a,unknown_household_type,0
Native Hawaiian or Pacific Islander,3,all_persons,2022-06-01,2022-06-30,Q12a,without_children,0
Native Hawaiian or Pacific Islander,3,all_persons,2022-06-01,2022-06-30,Q12a,with_children_and_adults,3
Native Hawaiian or Pacific Islander,3,all_persons,2022-06-01,2022-06-30,Q12a,with_only_children,0
Native Hawaiian or Pacific Islander,3,all_persons,2022-06-01,2022-06-30,Q12a,unknown_household_type,0
Multiple Races,134,all_persons,2022-06-01,2022-06-30,Q12a,without_children,51
Multiple Races,134,all_persons,2022-06-01,2022-06-30,Q12a,with_children_and_adults,76
Multiple Races,134,all_persons,2022-06-01,2022-06-30,Q12a,with_only_children,7
Multiple Races,134,all_persons,2022-06-01,2022-06-30,Q12a,unknown_household_type,0
Client Doesn't Know/Client Refused,8,all_persons,2022-06-01,2022-06-30,Q12a,without_children,5
Client Doesn't Know/Client Refused,8,all_persons,2022-06-01,2022-06-30,Q12a,with_children_and_adults,0
Client Doesn't Know/Client Refused,8,all_persons,2022-06-01,2022-06-30,Q12a,with_only_children,2
Client Doesn't Know/Client Refused,8,all_persons,2022-06-01,2022-06-30,Q12a,unknown_household_type,1
Data Not Collected,22,all_persons,2022-06-01,2022-06-30,Q12a,without_children,8
Data Not Collected,22,all_persons,2022-06-01,2022-06-30,Q12a,with_children_and_adults,9
Data Not Collected,22,all_persons,2022-06-01,2022-06-30,Q12a,with_only_children,0
Data Not Collected,22,all_persons,2022-06-01,2022-06-30,Q12a,unknown_household_type,5
