number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,225
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,6
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,40
Adults with Only Other Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,267
Adults with Only Other Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,34
Adults with Only Other Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,33
Adults with Both Earned and Other Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,41
Adults with Both Earned and Other Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,3
Adults with Both Earned and Other Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,11
Adults with No Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,874
Adults with No Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,11
Adults with No Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,126
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,4
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,68
Adults with Missing Income Information,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,9
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,783
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,428
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,1484
Total Adults,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,1265
Total Adults,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,219
1 or More Source of Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,600
1 or More Source of Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,44
1 or More Source of Income,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,92
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_annual_assessment_stayers,54
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-06-01,2022-06-30,Q18,number_of_adults_at_exit_leavers,0
