count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_entry,793
No Sources,all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,24
No Sources,all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_exit_for_leavers,90
1 + Source(s),all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_entry,465
1 + Source(s),all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,29
1 + Source(s),all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_exit_for_leavers,73
Client Doesn't Know/Client Refused,all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_entry,8
Client Doesn't Know/Client Refused,all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_entry,218
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,1212
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-06-01,2022-06-30,Q20b,benefit_at_exit_for_leavers,56
