, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",14,35,49,0.29,4,13,17,0.24,0,0,0,0.0
"""Supplemental Security Income (SSI)""",22,3,25,0.88,3,2,5,0.6,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",20,1,21,0.95,2,1,3,0.67,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",3,0,3,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,1,2,0.5,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,2,3,0.33,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",2,2,4,0.5,0,0,0,0.0,0,0,0,0.0
"""Child Support""",1,3,4,0.25,1,1,2,0.5,0,0,0,0.0
"""Other source""",1,1,2,0.5,2,0,2,1.0,0,0,0,0.0
"""No Sources""",24,44,68,0.35,1,6,7,0.14,0,0,0,0.0
"""Unduplicated Total Adults""",72,83,155,,8,21,29,,0,0,0,
